workplace,working_mode,position,job_role_and_duties,requisite_skill,job_type
TechSpark Inc.,Remote,Data Analyst,Analyze marketing data and visualize insights,"Python, SQL, Excel, Communication",full-time
DevFlex Ltd.,Hybrid,Freelance Web Developer,Build responsive websites for clients,"HTML, CSS, JavaScript, Communication",freelance
VisionAI Labs,Remote,AI Research Assistant,Assist in AI model training for NLP tasks,"Python, Machine Learning, Data Analysis",startup
CodeHive,On-site,Backend Engineer,Develop REST APIs and database schemas,"Java, SQL, Project Management",full-time
BrandBoost,Remote,Freelance Content Writer,Write SEO-optimized blog posts and social media,"Communication, Public Speaking",freelance
GreenMarket,On-site,Operations Executive,Manage supply chain and logistics,"Excel, Problem Solving, Leadership",full-time
FinStart,Remote,Startup Growth Analyst,Create traction and funding reports,"Data Analysis, Excel, Communication",startup
CloudNerd,Hybrid,DevOps Intern,CI/CD pipeline monitoring and optimization,"Python, Cloud, Leadership",full-time
FreelanceLab,Remote,Freelance Data Cleaner,Clean and format large datasets for analysis,"Excel, Python, Problem Solving",freelance
StartupBox,Remote,Startup Co-Founder,Launch MVP and lead GTM strategy,"Leadership, Project Management",startup
